Country,Latitude,Longitude,Arrive,Latitude,Longitude,Amount,Year
Libya,26.3351,17.228331,Australia,-25.274398,133.775136,40,2019
Morocco,31.791702,-7.09262,Australia,-25.274398,133.775136,90,2019
Sudan,12.862807,30.217636,Australia,-25.274398,133.775136,130,2019
Tunisia,33.886917,9.537499,Australia,-25.274398,133.775136,30,2019
Western Sahara,24.215527,-12.885834,Australia,-25.274398,133.775136,0,2019
Sp North Africa,26.0197776,32.277834,Australia,-25.274398,133.775136,0,2019
South Sudan,6.8769919,31.3069788,Australia,-25.274398,133.775136,90,2019
Bahrain,26.0667,50.5577,Australia,-25.274398,133.775136,90,2019
Gaza Str/W Bank,31.3546763,34.3088255,Australia,-25.274398,133.775136,0,2019
Iran,32.427908,53.688046,Australia,-25.274398,133.775136,3150,2019
Iraq,33.223191,43.679291,Australia,-25.274398,133.775136,6060,2019
Israel,31.046051,34.851612,Australia,-25.274398,133.775136,220,2019
Jordan,37.9973704,-97.3342624,Australia,-25.274398,133.775136,330,2019
Kuwait,29.31166,47.481766,Australia,-25.274398,133.775136,140,2019
Lebanon,33.854721,35.862285,Australia,-25.274398,133.775136,1170,2019
Oman,21.4735329,55.975413,Australia,-25.274398,133.775136,60,2019
Qatar,25.354826,51.183884,Australia,-25.274398,133.775136,230,2019
Saudi Arabia,23.885942,45.079162,Australia,-25.274398,133.775136,1930,2019
Syria,34.802075,38.996815,Australia,-25.274398,133.775136,2190,2019
Turkey,38.963745,35.243322,Australia,-25.274398,133.775136,810,2019
Unit Arab Emir,23.424076,53.847818,Australia,-25.274398,133.775136,1260,2019
Yemen,15.552727,48.516388,Australia,-25.274398,133.775136,80,2019
Myanmar,21.916221,95.955974,Australia,-25.274398,133.775136,2350,2019
Cambodia,12.565679,104.990963,Australia,-25.274398,133.775136,1290,2019
Laos,19.85627,102.495496,Australia,-25.274398,133.775136,180,2019
Thailand,15.870032,100.992541,Australia,-25.274398,133.775136,3330,2019
Vietnam,14.058324,108.277199,Australia,-25.274398,133.775136,6900,2019
Brunei,4.535277,114.727669,Australia,-25.274398,133.775136,0,2019
Indonesia,-0.789275,113.921327,Australia,-25.274398,133.775136,3760,2019
Malaysia,4.210484,101.975766,Australia,-25.274398,133.775136,2950,2019
Philippines,12.879721,121.774017,Australia,-25.274398,133.775136,16990,2019
Singapore,1.352083,103.819836,Australia,-25.274398,133.775136,400,2019
Timor-Leste,-8.874217,125.727539,Australia,-25.274398,133.775136,320,2019
China,35.86166,104.195397,Australia,-25.274398,133.775136,29290,2019
Hong Kong,22.3193039,114.1693611,Australia,-25.274398,133.775136,1560,2019
Macau,22.198745,113.543873,Australia,-25.274398,133.775136,80,2019
Mongolia,46.862496,103.846656,Australia,-25.274398,133.775136,1550,2019
Taiwan,23.69781,120.960515,Australia,-25.274398,133.775136,760,2019
Japan,36.204824,138.252924,Australia,-25.274398,133.775136,760,2019
"Korea, North",40.339852,127.510093,Australia,-25.274398,133.775136,-20,2019
"Korea, South",35.907757,127.766922,Australia,-25.274398,133.775136,10,2019
Bangladesh,23.684994,90.356331,Australia,-25.274398,133.775136,2440,2019
